CircuitName,File_Content,File,Date,File_State,Log_Directory
TODO,"Error description for entity (CustomId = ""HighVoltageSwitch.264355"", Name = ""Kobling 1"")

Description: Invalid entity

Error detail 1:

 - Description: Vector count error. Number of elements in vector: 0 outside of allowed range: (1, 65536)where type(IDOBJ_LID) = DSIGNAL AND DSIGNAL_TYPE = SwitchStatus AND SIGNAL_DIRECTION in (Read, ReadWrite) .

 - PropertyId: PSR_MEAS

 - Validation error code: InvalidVectorCount",SummaryReport.txt,2014-03-04_17-29-48\SummaryReport.txt,TODO,Reports_for_ChangeSet_BRT_10_57_E0101 [Bulk] _created at_2014-03-04_17-29-48
TODO,"Error description for entity ()Error description for entity ()

Description: Invalid entity

Error detail 1:

 - Description: Element with gid: {0x0201005d0000bfe4} has the same custom id = ""HighVoltageSwitch.264355"" that already exists in Network Model.

 - PropertyId: IDOBJ_CUSTOMID

 - Validation error code: InvalidCustomIds",SummaryReport.txt,2014-03-04_17-29-48\SummaryReport.txt,TODO,Reports_for_ChangeSet_BRT_10_57_E0101 [Bulk] _created at_2014-03-04_17-29-48
